model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
xlm-roberta-base,0.9074,0.004154996991575319,0.9073855682809681,0.004155449519040013
allegro/herbert-base-cased,0.85196,0.003744649516309919,0.8518490375503571,0.003771766708251695
dkleczek/bert-base-polish-cased-v1,0.8312000000000002,0.00619935480513902,0.831184666729424,0.0062017060340991
